serial_no,title,authors,journal,abstract,publish_date,doi,url,source
38,"Vision-Language Modeling Meets Remote Sensing: Models, Datasets and Perspectives",Xingxing Weng; Chao Pang; Gui-Song Xia,"IEEE Geoscience and Remote Sensing Magazine, Early Access, 2025","Vision-language modeling (VLM) aims to bridge the information gap between images and natural language. Under the new paradigm of first pre-training on massive image-text pairs and then fine-tuning on task-specific data, VLM in the remote sensing domain has made significant progress. The resulting models benefit from the absorption of extensive general knowledge and demonstrate strong performance across a variety of remote sensing data analysis tasks. Moreover, they are capable of interacting with users in a conversational manner. In this paper, we aim to provide the remote sensing community with a timely and comprehensive review of the developments in VLM using the two-stage paradigm. Specifically, we first cover a taxonomy of VLM in remote sensing: contrastive learning, visual instruction tuning, and text-conditioned image generation. For each category, we detail the commonly used network architecture and pre-training objectives. Second, we conduct a thorough review of existing works, examining foundation models and task-specific adaptation methods in contrastive-based VLM, architectural upgrades, training strategies and model capabilities in instruction-based VLM, as well as generative foundation models with their representative downstream applications. Third, we summarize datasets used for VLM pre-training, fine-tuning, and evaluation, with an analysis of their construction methodologies (including image sources and caption generation) and key properties, such as scale and task adaptability. Finally, we conclude this survey with insights and discussions on future research directions: cross-modal representation alignment, vague requirement comprehension, explanation-driven model reliability, continually scalable model capabilities, and large-scale datasets featuring richer modalities and greater challenges.",2025-05-20,10.1109/MGRS.2025.3572702,http://arxiv.org/abs/2505.14361v1,arxiv
39,TimeSenCLIP: A Time Series Vision-Language Model for Remote Sensing,Pallavi Jain; Diego Marcos; Dino Ienco; Roberto Interdonato; Tristan Berchoux,"ISPRS Journal of Photogrammetry and Remote Sensing Volume 236, June 2026, Pages 99-119","Vision-language models (VLMs) have shown significant promise in remote sensing applications, particularly for land-use and land-cover (LULC) mapping via zero-shot classification and retrieval. However, current approaches face several key challenges, such as the dependence on caption-based supervision, which is often not available or very limited in terms of the covered semantics, and the fact of being adapted from generic VLM architectures that are suitable for very high resolution images. Consequently, these models tend to prioritize spatial context over spectral and temporal information, limiting their effectiveness for medium-resolution remote sensing imagery. In this work, we present TimeSenCLIP, a lightweight VLM for remote sensing time series, using a cross-view temporal contrastive framework to align multispectral Sentinel-2 time series with geo-tagged ground-level imagery, without requiring textual annotations. Unlike prior VLMs, TimeSenCLIP emphasizes temporal and spectral signals over spatial context, investigating whether single-pixel time series contain sufficient information for solving a variety of tasks.",2025-08-16,10.1016/j.isprsjprs.2026.03.043,http://arxiv.org/abs/2508.11919v3,arxiv
40,Tiered Service Architecture for Remote Patient Monitoring,Siddharth Chandak; Isha Thapa; Nicholas Bambos; David Scheinker,,"We develop a remote patient monitoring (RPM) service architecture, which has two tiers of monitoring: ordinary and intensive. The patient's health state improves or worsens in each time period according to certain probabilities, which depend on the monitoring tier. The patient incurs a ""loss of quality of life"" cost or an ""invasiveness"" cost, which is higher under intensive monitoring than under ordinary. On the other hand, their health improves faster under intensive monitoring than under ordinary. In each period, the service decides which monitoring tier to use, based on the health of the patient. We investigate the optimal policy for making that choice by formulating the problem using dynamic programming. We first provide analytic conditions for selecting ordinary vs intensive monitoring in the asymptotic regime where the number of health states is large. In the general case, we investigate the optimal policy numerically. We observe a threshold behavior, that is, when the patient's health drops below a certain threshold the service switches them to intensive monitoring, while ordinary monitoring is used during adequately good health states of the patient. The modeling and analysis provides a general framework for managing RPM services for various health conditions with medically/clinically defined system parameters.",2024-06-26,,http://arxiv.org/abs/2406.18000v2,arxiv
41,A Progressive Image Restoration Network for High-order Degradation Imaging in Remote Sensing,Yujie Feng; Yin Yang; Xiaohong Fan; Zhengpeng Zhang; Lijing Bu; Jianping Zhang,"Transactions on Geoscience and Remote Sensing,2025","Recently, deep learning methods have gained remarkable achievements in the field of image restoration for remote sensing (RS). However, most existing RS image restoration methods focus mainly on conventional first-order degradation models, which may not effectively capture the imaging mechanisms of remote sensing images. Furthermore, many RS image restoration approaches that use deep learning are often criticized for their lacks of architecture transparency and model interpretability. To address these problems, we propose a novel progressive restoration network for high-order degradation imaging (HDI-PRNet), to progressively restore different image degradation. HDI-PRNet is developed based on the theoretical framework of degradation imaging, also Markov properties of the high-order degradation process and Maximum a posteriori (MAP) estimation, offering the benefit of mathematical interpretability within the unfolding network. The framework is composed of three main components: a module for image denoising that relies on proximal mapping prior learning, a module for image deblurring that integrates Neumann series expansion with dual-domain degradation learning, and a module for super-resolution. Extensive experiments demonstrate that our method achieves superior performance on both synthetic and real remote sensing images.",2024-12-10,10.1109/TGRS.2025.3590753,http://arxiv.org/abs/2412.07195v2,arxiv
42,Beyond Volume: The Impact of Complex Healthcare Data on the Machine Learning Pipeline,Keith Feldman; Louis Faust; Xian Wu; Chao Huang; Nitesh V. Chawla,"Towards Integrative Machine Learning and Knowledge Extraction, LNCS vol 10344 (2017) 150-169","From medical charts to national census, healthcare has traditionally operated under a paper-based paradigm. However, the past decade has marked a long and arduous transformation bringing healthcare into the digital age. Ranging from electronic health records, to digitized imaging and laboratory reports, to public health datasets, today, healthcare now generates an incredible amount of digital information. Such a wealth of data presents an exciting opportunity for integrated machine learning solutions to address problems across multiple facets of healthcare practice and administration. Unfortunately, the ability to derive accurate and informative insights requires more than the ability to execute machine learning models. Rather, a deeper understanding of the data on which the models are run is imperative for their success. While a significant effort has been undertaken to develop models able to process the volume of data obtained during the analysis of millions of digitalized patient records, it is important to remember that volume represents only one aspect of the data. In fact, drawing on data from an increasingly diverse set of sources, healthcare data presents an incredibly complex set of attributes that must be accounted for throughout the machine learning pipeline. This chapter focuses on highlighting such challenges, and is broken down into three distinct components, each representing a phase of the pipeline. We begin with attributes of the data accounted for during preprocessing, then move to considerations during model building, and end with challenges to the interpretation of model output. For each component, we present a discussion around data as it relates to the healthcare domain and offer insight into the challenges each may impose on the efficiency of machine learning techniques.",2017-06-01,10.1007/978-3-319-69775-8_9,http://arxiv.org/abs/1706.01513v2,arxiv
43,Energy Cyber Attacks to Smart Healthcare Devices: A Testbed,Zainab Alwaisi; Simone Soderi; Rocco De Nicola,"Bio-inspired Information and Communications Technologies, 2023","The Internet of Things (IoT) has garnered significant interest in both research and industry due to its profound impact on human life. The rapid expansion of IoT technology has ushered in smart healthcare, smart devices, smart cities, and smart grids. However, the security of IoT devices, particularly in healthcare, has become a major concern, with recent attacks revealing serious vulnerabilities. In IoT networks, where connected devices are susceptible to resource-constraint attacks, such as energy consumption attacks, security is paramount.   This paper explores the impact of Distributed Denial of Service (DDoS) and Fake Access Points (F-APs) attacks on WiFi-enabled smart healthcare devices. Specifically, it investigates how these attacks can disrupt service on victim devices and Access Points (APs), focusing on device connectivity and energy consumption during attacks. Key findings include identifying the attack rates of DDoS attacks that disrupt services and quantifying the energy consumption impact of Energy Consumption Distributed Denial of Service (EC-DDoS) and F-APs attacks on smart healthcare devices.   The study highlights communication protocols, attack rates, payload sizes, and port states of victim devices as critical factors influencing energy consumption. These insights provide a comprehensive understanding of IoT device vulnerabilities in smart healthcare environments and lay the groundwork for future defense strategies.",2024-04-30,10.1007/978-3-031-43135-7_24,http://arxiv.org/abs/2404.19418v2,arxiv
44,Changing Data Sources in the Age of Machine Learning for Official Statistics,Cedric De Boom; Michael Reusens,UNECE Machine Learning for Official Statistics Workshop 2023,"Data science has become increasingly essential for the production of official statistics, as it enables the automated collection, processing, and analysis of large amounts of data. With such data science practices in place, it enables more timely, more insightful and more flexible reporting. However, the quality and integrity of data-science-driven statistics rely on the accuracy and reliability of the data sources and the machine learning techniques that support them. In particular, changes in data sources are inevitable to occur and pose significant risks that are crucial to address in the context of machine learning for official statistics.   This paper gives an overview of the main risks, liabilities, and uncertainties associated with changing data sources in the context of machine learning for official statistics. We provide a checklist of the most prevalent origins and causes of changing data sources; not only on a technical level but also regarding ownership, ethics, regulation, and public perception. Next, we highlight the repercussions of changing data sources on statistical reporting. These include technical effects such as concept drift, bias, availability, validity, accuracy and completeness, but also the neutrality and potential discontinuation of the statistical offering. We offer a few important precautionary measures, such as enhancing robustness in both data sourcing and statistical techniques, and thorough monitoring. In doing so, machine learning-based official statistics can maintain integrity, reliability, consistency, and relevance in policy-making, decision-making, and public discourse.",2023-06-07,,http://arxiv.org/abs/2306.04338v1,arxiv
45,DOME: Recommendations for supervised machine learning validation in biology,Ian Walsh; Dmytro Fishman; Dario Garcia-Gasulla; Tiina Titma; Gianluca Pollastri; The ELIXIR Machine Learning focus group; Jen Harrow; Fotis E. Psomopoulos; Silvio C. E. Tosatto,,"Modern biology frequently relies on machine learning to provide predictions and improve decision processes. There have been recent calls for more scrutiny on machine learning performance and possible limitations. Here we present a set of community-wide recommendations aiming to help establish standards of supervised machine learning validation in biology. Adopting a structured methods description for machine learning based on data, optimization, model, evaluation (DOME) will aim to help both reviewers and readers to better understand and assess the performance and limitations of a method or outcome. The recommendations are formulated as questions to anyone wishing to pursue implementation of a machine learning algorithm. Answers to these questions can be easily included in the supplementary material of published papers.",2020-06-25,,http://arxiv.org/abs/2006.16189v4,arxiv
46,Deep Cox Mixtures for Survival Regression,Chirag Nagpal; Steve Yadlowsky; Negar Rostamzadeh; Katherine Heller,"Proceedings of the 6th Machine Learning for Healthcare Conference, PMLR 149:674-708, 2021","Survival analysis is a challenging variation of regression modeling because of the presence of censoring, where the outcome measurement is only partially known, due to, for example, loss to follow up. Such problems come up frequently in medical applications, making survival analysis a key endeavor in biostatistics and machine learning for healthcare, with Cox regression models being amongst the most commonly employed models. We describe a new approach for survival analysis regression models, based on learning mixtures of Cox regressions to model individual survival distributions. We propose an approximation to the Expectation Maximization algorithm for this model that does hard assignments to mixture groups to make optimization efficient. In each group assignment, we fit the hazard ratios within each group using deep neural networks, and the baseline hazard for each mixture component non-parametrically.   We perform experiments on multiple real world datasets, and look at the mortality rates of patients across ethnicity and gender. We emphasize the importance of calibration in healthcare settings and demonstrate that our approach outperforms classical and modern survival analysis baselines, both in terms of discriminative performance and calibration, with large gains in performance on the minority demographics.",2021-01-16,,http://arxiv.org/abs/2101.06536v6,arxiv
47,Learning Curves for Decision Making in Supervised Machine Learning: A Survey,Felix Mohr; Jan N. van Rijn,"Machine Learning, Volume 113, pages 8371-8425 (2024)","Learning curves are a concept from social sciences that has been adopted in the context of machine learning to assess the performance of a learning algorithm with respect to a certain resource, e.g., the number of training examples or the number of training iterations. Learning curves have important applications in several machine learning contexts, most notably in data acquisition, early stopping of model training, and model selection. For instance, learning curves can be used to model the performance of the combination of an algorithm and its hyperparameter configuration, providing insights into their potential suitability at an early stage and often expediting the algorithm selection process. Various learning curve models have been proposed to use learning curves for decision making. Some of these models answer the binary decision question of whether a given algorithm at a certain budget will outperform a certain reference performance, whereas more complex models predict the entire learning curve of an algorithm. We contribute a framework that categorises learning curve approaches using three criteria: the decision-making situation they address, the intrinsic learning curve question they answer and the type of resources they use. We survey papers from the literature and classify them into this framework.",2022-01-28,10.1007/s10994-024-06619-7,http://arxiv.org/abs/2201.12150v2,arxiv
48,On-Device Machine Learning: An Algorithms and Learning Theory Perspective,Sauptik Dhar; Junyao Guo; Jiayi Liu; Samarth Tripathi; Unmesh Kurup; Mohak Shah,,"The predominant paradigm for using machine learning models on a device is to train a model in the cloud and perform inference using the trained model on the device. However, with increasing number of smart devices and improved hardware, there is interest in performing model training on the device. Given this surge in interest, a comprehensive survey of the field from a device-agnostic perspective sets the stage for both understanding the state-of-the-art and for identifying open challenges and future avenues of research. However, on-device learning is an expansive field with connections to a large number of related topics in AI and machine learning (including online learning, model adaptation, one/few-shot learning, etc.). Hence, covering such a large number of topics in a single survey is impractical. This survey finds a middle ground by reformulating the problem of on-device learning as resource constrained learning where the resources are compute and memory. This reformulation allows tools, techniques, and algorithms from a wide variety of research areas to be compared equitably. In addition to summarizing the state-of-the-art, the survey also identifies a number of challenges and next steps for both the algorithmic and theoretical aspects of on-device learning.",2019-11-02,,http://arxiv.org/abs/1911.00623v2,arxiv
49,Active learning for data streams: a survey,Davide Cacciarelli; Murat Kulahci,Machine Learning (2023): 1-55,"Online active learning is a paradigm in machine learning that aims to select the most informative data points to label from a data stream. The problem of minimizing the cost associated with collecting labeled observations has gained a lot of attention in recent years, particularly in real-world applications where data is only available in an unlabeled form. Annotating each observation can be time-consuming and costly, making it difficult to obtain large amounts of labeled data. To overcome this issue, many active learning strategies have been proposed in the last decades, aiming to select the most informative observations for labeling in order to improve the performance of machine learning models. These approaches can be broadly divided into two categories: static pool-based and stream-based active learning. Pool-based active learning involves selecting a subset of observations from a closed pool of unlabeled data, and it has been the focus of many surveys and literature reviews. However, the growing availability of data streams has led to an increase in the number of approaches that focus on online active learning, which involves continuously selecting and labeling observations as they arrive in a stream. This work aims to provide an overview of the most recently proposed approaches for selecting the most informative observations from data streams in real time. We review the various techniques that have been proposed and discuss their strengths and limitations, as well as the challenges and opportunities that exist in this area of research.",2023-02-17,10.1007/s10994-023-06454-2,http://arxiv.org/abs/2302.08893v4,arxiv
50,Physics-Inspired Interpretability Of Machine Learning Models,Maximilian P Niroomand; David J Wales,ICLR 2023 Workshop on Physics for Machine Learning,"The ability to explain decisions made by machine learning models remains one of the most significant hurdles towards widespread adoption of AI in highly sensitive areas such as medicine, cybersecurity or autonomous driving. Great interest exists in understanding which features of the input data prompt model decision making. In this contribution, we propose a novel approach to identify relevant features of the input data, inspired by methods from the energy landscapes field, developed in the physical sciences. By identifying conserved weights within groups of minima of the loss landscapes, we can identify the drivers of model decision making. Analogues to this idea exist in the molecular sciences, where coordinate invariants or order parameters are employed to identify critical features of a molecule. However, no such approach exists for machine learning loss landscapes. We will demonstrate the applicability of energy landscape methods to machine learning models and give examples, both synthetic and from the real world, for how these methods can help to make models more interpretable.",2023-04-05,,http://arxiv.org/abs/2304.02381v2,arxiv
51,Communication-Efficient On-Device Machine Learning: Federated Distillation and Augmentation under Non-IID Private Data,Eunjeong Jeong; Seungeun Oh; Hyesung Kim; Jihong Park; Mehdi Bennis; Seong-Lyun Kim,,"On-device machine learning (ML) enables the training process to exploit a massive amount of user-generated private data samples. To enjoy this benefit, inter-device communication overhead should be minimized. With this end, we propose federated distillation (FD), a distributed model training algorithm whose communication payload size is much smaller than a benchmark scheme, federated learning (FL), particularly when the model size is large. Moreover, user-generated data samples are likely to become non-IID across devices, which commonly degrades the performance compared to the case with an IID dataset. To cope with this, we propose federated augmentation (FAug), where each device collectively trains a generative model, and thereby augments its local data towards yielding an IID dataset. Empirical studies demonstrate that FD with FAug yields around 26x less communication overhead while achieving 95-98% test accuracy compared to FL.",2018-11-28,,http://arxiv.org/abs/1811.11479v2,arxiv
52,A Benchmark Study of Machine Learning Models for Online Fake News Detection,Junaed Younus Khan; Md. Tawkat Islam Khondaker; Sadia Afroz; Gias Uddin; Anindya Iqbal,Machine Learning with Applications: 4(2021).100032,"The proliferation of fake news and its propagation on social media has become a major concern due to its ability to create devastating impacts. Different machine learning approaches have been suggested to detect fake news. However, most of those focused on a specific type of news (such as political) which leads us to the question of dataset-bias of the models used. In this research, we conducted a benchmark study to assess the performance of different applicable machine learning approaches on three different datasets where we accumulated the largest and most diversified one. We explored a number of advanced pre-trained language models for fake news detection along with the traditional and deep learning ones and compared their performances from different aspects for the first time to the best of our knowledge. We find that BERT and similar pre-trained models perform the best for fake news detection, especially with very small dataset. Hence, these models are significantly better option for languages with limited electronic contents, i.e., training data. We also carried out several analysis based on the models' performance, article's topic, article's length, and discussed different lessons learned from them. We believe that this benchmark study will help the research community to explore further and news sites/blogs to select the most appropriate fake news detection method.",2019-05-12,10.1016/j.mlwa.2021.100032,http://arxiv.org/abs/1905.04749v2,arxiv
53,MerLin: A Discovery Engine for Photonic and Hybrid Quantum Machine Learning,Cassandre Notton; Benjamin Stott; Philippe Schoeb; Anthony Walsh; Grégoire Leboucher; Vincent Espitalier; Vassilis Apostolou; Louis-Félix Vigneux; Alexia Salavrakos; Jean Senellart,"IJCNN SS07 Quantum Machine Learning Algorithms and Applications, IEEE WCCI 2026","Identifying where quantum models may offer practical benefits in near term quantum machine learning (QML) requires moving beyond isolated algorithmic proposals toward systematic and empirical exploration across models, datasets, and hardware constraints. We introduce MerLin, an open-source framework designed as a discovery engine for photonic and hybrid quantum machine learning. MerLin integrates optimized strong simulation of linear optical circuits into standard PyTorch and scikit learn workflows, enabling end-to-end differentiable training of quantum layers.   MerLin is designed around systematic benchmarking and reproducibility. As an initial contribution, we reproduce eighteen state-of-the-art photonic and hybrid QML works spanning kernel methods, reservoir computing, convolutional and recurrent architectures, generative models, and modern training paradigms. These reproductions are released as reusable, modular experiments that can be directly extended and adapted, establishing a shared experimental baseline consistent with empirical benchmarking methodologies widely adopted in modern artificial intelligence.   By embedding photonic quantum models within established machine learning ecosystems, MerLin allows practitioners to leverage existing tooling for ablation studies, cross-modality comparisons, and hybrid classical-quantum workflows. The framework already implements hardware-aware features, allowing tests on available quantum hardware while enabling exploration beyond its current capabilities, positioning MerLin as a forward-looking co-design tool linking algorithms, benchmarks, and hardware.",2026-02-11,,http://arxiv.org/abs/2602.11092v2,arxiv
54,Leveraging IoT for Patient Monitoring and Smart Healthcare,Bhupinder Singh; Christian Kaunert,Advances in Healthcare Information Systems and Administration,"A new era of “smart health” has begun as a result of advances in advanced technology, revolutionizing patient and medical staff healthcare procedures both inside and outside of hospitals. Patients can now gather thorough health data utilizing cellphones and wearable technology, independent of their geographic location or time zone. However, present tactics for smart-health devices tend to focus on the smartness of the technology itself and on controlling a specific disease or condition. The use of this patient-generated data holds great promise for future healthcare breakthroughs in many ways. It entails the integration of advanced machine learning methods to track and analyze human activity, thereby fostering a holistic approach to personalized healthcare. This chapter focuses on the multifarious aspects of Leveraging IoT for Patient Monitoring and Smart Healthcare.",2024-10-18,10.4018/979-8-3693-7225-8.ch002,https://doi.org/10.4018/979-8-3693-7225-8.ch002,crossref
55,Wearable Hardware Design for the Internet of Medical Things (IoMT),Fayez Qureshi; Sridhar Krishnan,Sensors,"As the life expectancy of individuals increases with recent advancements in medicine and quality of living, it is important to monitor the health of patients and healthy individuals on a daily basis. This is not possible with the current health care system in North America, and thus there is a need for wireless devices that can be used from home. These devices are called biomedical wearables, and they have become popular in the last decade. There are several reasons for that, but the main ones are: expensive health care, longer wait times, and an increase in public awareness about improving quality of life. With this, it is vital for anyone working on wearables to have an overall understanding of how they function, how they were designed, their significance, and what factors were considered when the hardware was designed. Therefore, this study attempts to investigate the hardware components that are required to design wearable devices that are used in the emerging context of the Internet of Medical Things (IoMT). This means that they can be used, to an extent, for disease monitoring through biosignal capture. In particular, this review study covers the basic components that are required for the front-end of any biomedical wearable, and the limitations that these wearable devices have. Furthermore, there is a discussion of the opportunities that they create, and the direction that the wearable industry is heading in.",2018-11-7,10.3390/s18113812,https://doi.org/10.3390/s18113812,crossref
56,Wearable Hardware Design for the Internet of Medical Things (IoMT),Fayez Qureshi; Sridhar Krishnan,,"As the life expectancy of individuals increases with recent advancements in medicine and quality of living, it is important to monitor the health of patients and healthy individuals on a daily basis. This is not possible with the current health care system in North America, and thus there is a need for wireless devices that can be used from home. These devices are called biomedical wearables, and they have become popular in the last decade. There are several reasons for that, but the main ones are: expensive health care, longer wait times, and an increase in public awareness about improving quality of life. With this, it is vital for anyone working on wearables to have an overall understanding of how they function, how they were designed, their significance, and what factors were considered when the hardware was designed. Therefore, this study attempts to investigate the hardware components that are required to design wearable devices that are used in the emerging context of the Internet of Medical Things (IoMT). This means that they can be used, to an extent, for disease monitoring through biosignal capture. In particular, this review study covers the basic components that are required for the front-end of any biomedical wearable, and the limitations that these wearable devices have. Furthermore, there is a discussion of the opportunities that they create, and the direction that the wearable industry is heading in.",2022-10-28,10.32920/14639742.v1,https://doi.org/10.32920/14639742.v1,crossref
57,Wearable Hardware Design for the Internet of Medical Things (IoMT),Fayez Qureshi; Sridhar Krishnan,,"As the life expectancy of individuals increases with recent advancements in medicine and quality of living, it is important to monitor the health of patients and healthy individuals on a daily basis. This is not possible with the current health care system in North America, and thus there is a need for wireless devices that can be used from home. These devices are called biomedical wearables, and they have become popular in the last decade. There are several reasons for that, but the main ones are: expensive health care, longer wait times, and an increase in public awareness about improving quality of life. With this, it is vital for anyone working on wearables to have an overall understanding of how they function, how they were designed, their significance, and what factors were considered when the hardware was designed. Therefore, this study attempts to investigate the hardware components that are required to design wearable devices that are used in the emerging context of the Internet of Medical Things (IoMT). This means that they can be used, to an extent, for disease monitoring through biosignal capture. In particular, this review study covers the basic components that are required for the front-end of any biomedical wearable, and the limitations that these wearable devices have. Furthermore, there is a discussion of the opportunities that they create, and the direction that the wearable industry is heading in.",2022-10-28,10.32920/14639742,https://doi.org/10.32920/14639742,crossref
58,An IoMT‐Based Approach for Real‐Time Monitoring Using Wearable Neuro‐Sensors,Mohammed Wasim Bhatt; Sparsh Sharma,Journal of Healthcare Engineering,"The Internet of Things (IoT) has demonstrated over the past few decades to be a powerful tool for connecting various medical equipment with in‐built sensors and healthcare professionals to deliver superior health services that also reach remote areas. In addition to reducing healthcare costs, increasing access to clinical services, and enhancing operational effectiveness in the healthcare industry, it has also enhanced patient health safety. Recent research has focused on using EEG to assist and comprehend brain changes in rehabilitation facilities. These technologies can spot fluctuations in EEG constraints during treatment, which could result in more effective therapy and better functional outcomes. As a result, we have tried to use an IoT‐based system for real‐time monitoring of the constraints. Another unknown patient who is suffering from acute ischemic stroke may experience stroke‐in‐evolution or an early worsening of neurological symptoms, which is frequently associated with poor clinical outcomes. Because of this, managing an acute stroke requires early detection of these indications. The present investigation work will act as a standard reference for academic researchers, medical professionals, and everyone else involved in the use of IoMT. This study aims to anticipate strokes sooner and prevent their consequences by early intervention using an Internet of Things (IoT)‐based system. Also, this study proposes usage of wearable equipment that can monitor and analyze brain signals for improved treatment and the prevention of stroke‐related complications.",2023-1,10.1155/2023/1066547,https://doi.org/10.1155/2023/1066547,crossref
59,EEG SignalsAnalysis and Modeling for Machine Learning Techniques in IoMT based Wearable in Healthcare,Bhaskar Kapoor,,"Abstract
        Electroencephalographic (EEG) data analysis frequently involves visual signal evaluation, feature extraction, and model development. Improved descriptive and prognostic models of brain states and illnesses have already been produced, in part thanks to computer-aided nonlinear feature extraction from EEG. However, in this discipline, there aren't many effective tools that are publicly available for scientific study of EEG and would enable researchers to compare the findings of their work with those of other researchers. There is a need for a shared framework for the analysis, extraction, and visualisation of EEG records, especially given the wide variety of EEG analysis methods that have been presented. This study aims to introduce such a framework, known as EEGFrame, and its Java implementation. The analysis is currently supported by the framework.",2022-7-19,10.21203/rs.3.rs-1810072/v2,https://doi.org/10.21203/rs.3.rs-1810072/v2,crossref
60,Remote Patient Monitoring Based on IoT Technologies,Sabina M. Nobari; Fidan Arzumanova,Journal of Smart Technologies and Computational Systems,"The rapid advancement of Internet of Things (IoT) technology is
revolutionizing traditional healthcare infrastructure, offering innovative
solutions, especially in the field of remote patient monitoring (RPM). This
The article extensively discusses the entire lifecycle of IoT-based RPM systems,
including their fundamental principles and architecture, applications,
associated technology, challenges, and future scope. According to various
studies, not only does this help in the betterment of patient health, but it is
also economically viable to the system, helping in the reduction of hospital
and overall healthcare expenses. In this article, the importance of RPM in
the treatment and monitoring of chronic diseases, its applications in care
and monitoring of elderly patients, and in cardiology and post-operative care
have been discussed in detail. But for the widespread adoption of IoT-based
RPM, various factors need to be considered, including data security.
regulatory issues, and technological synergies. In addition, the importance
and future scope of various techniques and technologies, including TinyML,
Federated learning and blockchain have been discussed.
Keywords: remote patient monitoring, IoT, AI, edge computing, federated
learning, TinyML, data security, healthcare informatics, wearable
technologies, telemedicine",2026-3,10.54414/hltf9583,https://doi.org/10.54414/hltf9583,crossref
61,Design and Integration of IoT-Enabled Health Sensors for Remote Patient Monitoring,Dhanesh Jain; Ravi Butola,,"With the increasing demand for continuous and accessible healthcare, the integration of Internet of Things (IoT) technologies with biomedical sensors offers some promising solutions for constant patient monitoring. This research presents the design and implementation of a compact, IoT-enabled health system capable of tracking key physical parameters, including body temperature, heart rate, and blood oxygen level. The system uses low-power sensors with a microcontroller and transmits data wirelessly to the cloud via Wi-Fi or Bluetooth. Data is visualized in real-time through a web-based dashboard, allowing healthcare professionals to monitor patient status remotely. This system can trigger warnings in case of abnormal readings to prevent critical health conditions. The modular nature of the design allows easy integration of additional sensors, making it suitable for various clinical applications. This paper highlights how IoT-based health monitoring can improve patient conditions, reduce hospital visits, and support healthcare delivery in underserved regions.",2025-10-21,10.36227/techrxiv.176107780.07071252/v1,https://doi.org/10.36227/techrxiv.176107780.07071252/v1,crossref
62,IoT Integration in Telemedicine: Investigating the Role of Internet of Things Devices in Facilitating Remote Patient Monitoring and Data Transmission,,International Internal Medicine Journal,"Introduction: The integration of Internet of Things (IoT) technology with telemedicine has ushered in a groundbreaking era for healthcare, allowing for remote monitoring and data transmission of patients. This research paper aims to explore the complex relationship between IoT devices and telemedicine, examining their combined potential to improve patient care and transform healthcare workflows. Method: To gain a deeper understanding of the impact of IoT-powered telemedicine, a qualitative study was conducted to explore the experiences and perspectives of both healthcare practitioners and patients. Using in-depth interviews and content analysis, we examined the integration of IoT devices, such as wearables and remote sensors, into telemedicine platforms. This allowed us to uncover real-time health data collection and transmission from patients' homes to medical professionals. Result: This study's analysis of the benefits, challenges, and user satisfaction indicates that IoT-powered remote patient monitoring significantly enhances patient care by facilitating timely interventions and reducing hospital admissions, ultimately leading to improved healthcare outcomes and highlighting the effectiveness of IoT-powered remote patient monitoring in relation to healthcare outcomes. Furthermore, we analyze the complex technical factors that influence the effective deployment of IoT devices in telehealth settings. The integration of telemedicine with IoT technology is a complex process that requires careful consideration of several factors, including data security, interoperability, and data analytics. These factors play a crucial role in ensuring the effective and secure exchange of health information between different systems. The insights gained from this research can help to inform the development of best practices for telemedicine, ultimately improving patient care and outcomes. The findings also have implications for healthcare providers, technology developers, and policymakers who seek to leverage IoTintegrated telehealth solutions in their work.",2023-11-14,10.33140/iimj.01.05.03,https://doi.org/10.33140/iimj.01.05.03,crossref
63,IoT-Enabled Remote Patient Monitoring with AWS IoT Core,Prof. Sandhya Chalisgaonkar,International Journal of Advanced Networking and Applications,"This research investigates the design and implementation of an IoT-enabled Remote Patient Monitoring (RPM) system using AWS IoT Core. Addressing key challenges like scalability, real-time processing, and security, the paper integrates advanced cloud-based technologies and explores performance metrics to validate its efficiency. Drawing insights from recent developments in cloud computing and healthcare IoT, the system leverages AWS's secure and scalable infrastructure. The results demonstrate improved latency, scalability, and data processing, making it a promising solution for chronic disease management.",2025,10.35444/ijana.2025.16504,https://doi.org/10.35444/ijana.2025.16504,crossref
64,IoT Based Remote Patient Monitoring and Telemedicine Solutions for Accessible and Cost Effective Healthcare Services,Anuradha R; Kundan Baddur; Modalavalasa Divya,IoT-Enabled Smart Health Care Systems,"The integration of Internet of Things (IoT) technologies into healthcare systems has transformed traditional care models by enabling real-time, continuous, and remote patient monitoring. This chapter presents an in-depth exploration of IoT-based Remote Patient Monitoring (RPM) and telemedicine solutions, emphasizing their role in enhancing healthcare accessibility, affordability, and quality. The fusion of wearable sensors, edge computing, cloud platforms, and intelligent analytics allows for proactive management of chronic diseases, early detection of clinical deterioration, and reduction in unnecessary hospitalizations. The chapter outlines the core components of RPM systems, including sensor technologies, communication infrastructure, and data lifecycle management, while examining the functional role of healthcare providers in interpreting data and ensuring responsive care delivery. Special attention is given to behavioral health and sleep monitoring use cases, showcasing the adaptability of RPM across diverse clinical scenarios. Challenges such as data privacy, system interoperability, and patient engagement are critically evaluated, alongside future research directions focusing on AI-driven personalization, federated learning, and inclusive design. By addressing both the technological and systemic aspects of IoT-enabled healthcare, this chapter offers a comprehensive roadmap for leveraging RPM in scalable and sustainable telehealth solutions.",2025-6-26,10.71443/9789349552548-05,https://doi.org/10.71443/9789349552548-05,crossref
